date,pe,roe,de,f1_pe,f2_roe,f3_de,likelihood_L_j,drift_D_f,z_score,phi_z,decay_factor,f_score
2025-03-27,27.199555067625454,173.31140312991957,1.4672106669777467,3.3393062000758196,1.0,0.4053160167408678,1.787051484215545,7.523605561334057,0.036181917486884436,0.5144313478483274,0.14934664719568608,7.682859701350542
2025-03-28,27.15037286276383,173.7333255111934,1.4665919242244791,3.3375606000668525,1.0,0.4054176899628056,1.7863786625174425,7.657402238283071,0.09308309427920268,0.5370812260349738,0.15196184420244385,8.161585359478423
2025-03-31,27.101190657902208,174.1552478924673,1.4659731814712118,3.3358119476093635,1.0,0.40551941420684673,1.7857046325954573,7.791439181473459,0.14822242239874564,0.5589163816233541,0.15457960569822088,8.639707388961442
2025-04-01,27.052008453040585,174.57717027374116,1.4653544387179442,3.334060232009304,1.0,0.40562118951140713,1.7850293901815735,7.925717239638774,0.20168063740599732,0.5799167996693557,0.15719990169758627,9.116286390080155
2025-04-02,27.002826248178962,174.999092655015,1.464735695964677,3.3323054425163265,1.0,0.40572301591494103,1.7843529309852662,8.060237265988665,0.2535336182378909,0.6000720570141889,0.1598227019694619,9.590513752838065
2025-04-03,26.95364404331734,175.42101503628888,1.4641169532114093,3.330547568323393,1.0,0.4058248934559418,1.7836752506933429,8.195000118240443,0.3038527470101415,0.6193799604710817,0.1624479760371807,10.06170209765162
2025-04-04,26.90446183845572,175.84293741756272,1.4634982104581418,3.3287865985663707,1.0,0.40592682217294074,1.7829963449697837,8.33000665865088,0.3527052372988147,0.6378452837006529,0.16507569317856605,10.529275234756438
2025-04-07,26.855279633594098,176.2648597988366,1.4628794677048744,3.3270225223236314,1.0,0.40602880210450865,1.7823162094555798,8.465257754048267,0.40015443407650275,0.6554786133125156,0.16770582242603332,10.99275799282513
2025-04-08,26.806097428732475,176.68678218011047,1.4622607249516069,3.3252553286156457,1.0,0.40613083328925453,1.7816348397685722,8.60075427586455,0.44626008811799145,0.6722953085511796,0.17033833256671038,11.451766185102999
2025-04-09,26.756915223870852,177.10870456138434,1.4616419821983393,3.323485006404572,1.0,0.40623291576582643,1.7809522315032855,8.736497100168318,0.4910786073756339,0.6883145743111457,0.17297319214259166,11.905996911686799
2025-04-10,26.707733019009233,177.5306269426582,1.461023239445072,3.3217115445938425,1.0,0.40633504957291133,1.780268380230765,8.872487107697266,0.5346632875479188,0.703558643908145,0.17561036945069983,12.35521933869427
2025-04-11,26.65855081414761,177.95254932393206,1.4604044966918044,3.3199349320277474,1.0,0.4064372347492348,1.7795832814984076,9.008725183891784,0.5770645238237806,0.718052065763093,0.17824983254328697,12.799266047963261
2025-04-14,26.609368609285987,178.3744717052059,1.459785753938537,3.3181551574910126,1.0,0.406539471333562,1.7788969308297957,9.145212218927954,0.618330005571019,0.7318210867108366,0.18089154922804201,13.238025013287249
2025-04-15,26.560186404424364,178.79639408647978,1.4591670111852695,3.3163722097083745,1.0,0.4066417593646964,1.778209323724524,9.281949107752066,0.6585048955511895,0.7448931238403537,0.1835354870683457,13.671432229790087
